mode	category	task_name	policy_name	score
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:1_num_agent:1)_reward_to:agent	learner	0.068333
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:1_num_agent:1)_reward_to:agent	takeru_100M	0.292602
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:1_num_agent:1)_reward_to:agent	takeru_200M	0.330688
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:1_num_agent:1)_reward_to:agent	takeru_25M	0.263492
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:1_num_agent:1)_reward_to:agent	takeru_50M	0.288552
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:1_num_agent:1)_reward_to:agent	yaofeng_100M	0.484909
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:1_num_agent:1)_reward_to:agent	yaofeng_200M	0.559836
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:1_num_agent:1)_reward_to:agent	yaofeng_25M	0.363578
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:1_num_agent:1)_reward_to:agent	yaofeng_50M	0.382442
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:3_num_agent:1)_reward_to:agent	baseline_10M	0.000000
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:3_num_agent:1)_reward_to:agent	learner	0.000000
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:3_num_agent:1)_reward_to:agent	takeru_100M	0.022357
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:3_num_agent:1)_reward_to:agent	takeru_200M	0.030338
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:3_num_agent:1)_reward_to:agent	takeru_25M	0.004878
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:3_num_agent:1)_reward_to:agent	takeru_50M	0.002381
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:3_num_agent:1)_reward_to:agent	yaofeng_100M	0.082778
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:3_num_agent:1)_reward_to:agent	yaofeng_200M	0.071075
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:3_num_agent:1)_reward_to:agent	yaofeng_25M	0.048652
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:3_num_agent:1)_reward_to:agent	yaofeng_50M	0.041597
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:1_num_agent:1)_reward_to:agent	baseline_10M	0.118416
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:1_num_agent:1)_reward_to:agent	learner	0.057864
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:1_num_agent:1)_reward_to:agent	takeru_100M	0.410810
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:1_num_agent:1)_reward_to:agent	takeru_200M	0.491230
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:1_num_agent:1)_reward_to:agent	takeru_25M	0.364348
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:1_num_agent:1)_reward_to:agent	takeru_50M	0.331684
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:1_num_agent:1)_reward_to:agent	yaofeng_100M	0.621711
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:1_num_agent:1)_reward_to:agent	yaofeng_200M	0.731243
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:1_num_agent:1)_reward_to:agent	yaofeng_25M	0.420320
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:1_num_agent:1)_reward_to:agent	yaofeng_50M	0.525709
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:3_num_agent:1)_reward_to:agent	baseline_10M	0.023724
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:3_num_agent:1)_reward_to:agent	learner	0.000000
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:3_num_agent:1)_reward_to:agent	takeru_100M	0.090965
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:3_num_agent:1)_reward_to:agent	takeru_200M	0.136711
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:3_num_agent:1)_reward_to:agent	takeru_25M	0.043151
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:3_num_agent:1)_reward_to:agent	takeru_50M	0.074268
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:3_num_agent:1)_reward_to:agent	yaofeng_100M	0.301271
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:3_num_agent:1)_reward_to:agent	yaofeng_200M	0.455966
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:3_num_agent:1)_reward_to:agent	yaofeng_25M	0.150862
pvp	item	curriculum/Task_EquipItem_(item:Hat_level:3_num_agent:1)_reward_to:agent	yaofeng_50M	0.196167
pvp	item	curriculum/Task_EquipItem_(item:Pickaxe_level:1_num_agent:1)_reward_to:agent	baseline_10M	0.106899
